Symbol,Shares,Current_Price,Buy_Price,Target,Trail_Stop,Suggested_Stop,Trail_Pct,Investment,Current_Value,Profit,Profit_Pct,Max_Profit,Status,RSI,RSI_Status,Trend,VIX_Tag,Sparkline,Date
SXRZ,20,276.8,265.48,301.25,235.28,270.02,15.0,5309.55,5536.0,226.45,4.26,715.45,Neutral,49.53,Neutral,Bullish Pullback,Normal,"[299.55, 296.1, 293.45, 287.85, 285.05, 289.75, 289.9, 290.45, 284.6, 286.45, 283.5, 275.6, 276.2, 277.3, 273.4, 277.1, 274.45, 279.85, 280.45, 281.35, 278.7, 277.35, 278.95, 284.25, 284.2, 281.75, 283.8, 282.0, 281.55, 276.8]",2025-12-13 17:29
AMPX,500,10.36,10.34,16.31,8.81,8.82,15.0,5170.39,5182.25,11.86,0.23,2985.36,Neutral,56.92,Neutral,Bullish Pullback,Normal,"[13.39, 12.88, 11.5, 12.39, 10.7, 12.09, 12.91, 12.27, 11.75, 11.13, 10.73, 9.91, 10.14, 10.27, 9.79, 9.6, 10.26, 10.19, 10.27, 10.75, 10.08, 10.32, 10.94, 11.61, 11.57, 11.21, 11.11, 10.49, 10.87, 10.36]",2025-12-13 17:30
AMZN,22,214.88,218.63,282.52,182.65,206.23,15.0,4809.83,4727.37,-82.46,-1.71,1405.62,Neutral,58.18,Neutral,Bullish Pullback,Normal,"[232.01, 241.3, 236.85, 237.69, 230.89, 232.19, 235.98, 236.65, 231.99, 225.7, 222.96, 221.23, 211.42, 211.56, 206.28, 209.66, 214.97, 218.19, 217.7, 221.56, 222.19, 222.7, 220.76, 217.65, 218.05, 215.55, 216.52, 220.19, 218.77, 214.88]",2025-12-13 17:30
APLD,220,26.47,23.33,40.75,22.5,21.63,15.0,5133.67,5822.74,689.07,13.42,3832.43,Neutral,69.9,Neutral,Bullish Pullback,Normal,"[32.93, 31.23, 29.51, 31.44, 29.53, 29.43, 29.87, 27.14, 25.09, 21.91, 22.47, 21.79, 21.7, 21.94, 20.3, 20.04, 22.6, 22.55, 23.69, 25.75, 26.8, 26.65, 27.89, 29.58, 29.66, 30.5, 31.13, 29.44, 29.22, 26.47]",2025-12-13 17:30
DNN,2000,2.48,2.7,3.35,2.11,2.22,15.0,5405.5,4959.0,-446.5,-8.26,1301.5,Neutral,66.35,Neutral,Bullish Pullback,Normal,"[3.01, 2.77, 2.6, 2.54, 2.43, 2.42, 2.51, 2.46, 2.46, 2.37, 2.36, 2.27, 2.26, 2.31, 2.2, 2.16, 2.2, 2.35, 2.43, 2.43, 2.39, 2.46, 2.57, 2.7, 2.6, 2.59, 2.6, 2.56, 2.62, 2.48]",2025-12-13 17:30
DVLT,2700,1.31,1.8,2.85,1.11,0.93,15.0,4860.68,3539.7,-1320.98,-27.18,2834.32,Oversold,3.2,Oversold,Bullish Pullback,Normal,"[1.93, 1.75, 1.69, 1.52, 1.29, 1.61, 1.55, 1.37, 1.55, 1.46, 1.74, 1.78, 1.66, 1.52, 1.65, 2.42, 2.3, 2.1, 2.02, 1.93, 1.8, 1.79, 1.74, 1.77, 1.62, 1.48, 1.49, 1.38, 1.37, 1.31]",2025-12-13 17:30
FCX,100,45.01,39.82,47.42,38.26,42.34,15.0,3982.4,4501.1,518.7,13.02,760.0,Overbought,87.66,Overbought,Strong Bullish,Normal,"[39.62, 39.12, 37.45, 38.2, 36.72, 37.82, 38.9, 39.02, 39.72, 38.51, 38.15, 37.05, 38.0, 39.19, 37.65, 37.88, 38.75, 39.02, 40.04, 40.83, 40.92, 40.82, 42.3, 42.38, 42.94, 42.75, 42.56, 44.13, 45.7, 45.01]",2025-12-13 17:30
LNG,25,179.89,183.64,258.2,152.91,171.16,15.0,4591.11,4497.3,-93.81,-2.04,1863.9,Oversold,21.54,Oversold,Strong Bearish,Normal,"[200.86, 198.6, 195.89, 194.83, 197.1, 197.5, 200.97, 201.4, 202.87, 202.64, 204.43, 204.45, 201.84, 199.14, 197.76, 195.22, 194.35, 194.66, 195.5, 198.04, 200.16, 198.82, 198.04, 197.5, 195.41, 190.76, 188.78, 183.26, 182.02, 179.89]",2025-12-13 17:30
MARA,500,10.94,11.76,21.76,9.3,9.41,15.0,5878.12,5472.0,-406.12,-6.91,5004.12,Neutral,64.08,Neutral,Strong Bearish,Normal,"[17.36, 16.92, 15.79, 16.27, 15.16, 15.08, 14.8, 13.9, 13.69, 12.14, 11.39, 10.93, 11.29, 10.55, 9.73, 9.57, 10.65, 10.61, 10.55, 11.22, 10.94, 11.31, 11.85, 11.82, 11.15, 11.45, 11.64, 11.32, 11.25, 10.94]",2025-12-13 17:30
MELI,2,1915.1,2033.47,2722.22,1627.83,1783.93,15.0,4066.95,3830.19,-236.76,-5.82,1377.5,Neutral,56.27,Neutral,Strong Bearish,Normal,"[2210.9, 2200.58, 2190.41, 2186.79, 2021.91, 2003.17, 1987.44, 1994.59, 1998.71, 1929.5, 1946.45, 1954.83, 1955.87, 1973.32, 1804.76, 1854.19, 1908.47, 1952.25, 1931.65, 1968.19, 1961.32, 2010.11, 2013.84, 2032.58, 1963.1, 1983.94, 1970.76, 1872.19, 1918.82, 1915.1]",2025-12-13 17:30
META,8,612.02,631.39,795.76,520.22,574.82,15.0,5051.15,4896.15,-155.0,-3.07,1314.91,Neutral,66.9,Neutral,Strong Bearish,Normal,"[615.93, 605.82, 595.95, 604.15, 587.99, 590.62, 600.17, 595.73, 578.56, 579.4, 578.99, 571.91, 567.81, 560.8, 559.69, 564.54, 582.4, 604.41, 601.93, 615.55, 608.83, 614.74, 607.62, 628.45, 639.75, 633.46, 624.11, 617.62, 620.07, 612.02]",2025-12-13 17:30
MSFT,11,454.6,458.73,599.73,386.41,437.33,15.0,5046.0,5000.64,-45.36,-0.9,1550.98,Neutral,54.09,Neutral,Bullish Pullback,Normal,"[491.0, 490.26, 487.7, 480.9, 471.36, 471.1, 479.8, 482.34, 484.68, 477.23, 483.77, 481.21, 468.22, 461.9, 454.51, 448.51, 450.3, 453.14, 461.22, 467.41, 462.4, 465.5, 453.84, 456.8, 459.0, 466.47, 467.42, 454.63, 459.3, 454.6]",2025-12-13 17:30
MSTR,27,167.63,177.16,472.82,142.48,143.75,15.0,4783.39,4525.94,-257.45,-5.38,7982.87,Neutral,53.96,Neutral,Strong Bearish,Normal,"[256.03, 251.44, 234.64, 242.25, 225.34, 229.83, 226.94, 219.78, 213.38, 198.11, 189.76, 185.65, 196.46, 177.17, 168.27, 161.97, 170.09, 163.58, 166.86, 168.32, 162.85, 172.26, 178.97, 176.71, 170.04, 174.51, 179.54, 175.41, 174.14, 167.63]",2025-12-13 17:30
NVDA,30,166.27,175.57,244.1,141.33,155.4,15.0,5267.18,4988.07,-279.11,-5.3,2055.9,Neutral,45.05,Neutral,Bullish Pullback,Normal,"[192.35, 196.53, 188.74, 185.44, 178.67, 178.73, 189.09, 183.49, 184.1, 177.51, 180.65, 177.26, 172.28, 177.18, 171.6, 169.93, 173.41, 168.92, 171.24, 168.14, 170.91, 172.38, 170.6, 174.21, 173.29, 176.27, 175.72, 174.59, 171.88, 166.27]",2025-12-13 17:30
ORCL,25,180.47,196.03,284.68,153.4,159.57,15.0,4900.69,4511.79,-388.91,-7.94,2216.23,Neutral,43.88,Neutral,Strong Bearish,Normal,"[249.48, 244.96, 235.76, 237.79, 231.61, 227.3, 228.79, 224.34, 215.64, 206.69, 211.71, 208.87, 209.47, 214.25, 200.16, 188.82, 190.27, 187.18, 194.71, 191.85, 190.89, 191.05, 197.34, 203.61, 206.7, 209.51, 210.45, 211.86, 188.91, 180.47]",2025-12-13 17:30
QBTS,210,24.8,23.72,37.6,21.08,20.64,15.0,4982.09,5206.95,224.86,4.51,2914.12,Neutral,64.16,Neutral,Bullish Pullback,Normal,"[35.21, 31.44, 28.25, 29.47, 26.97, 28.02, 27.9, 27.54, 25.08, 22.22, 22.43, 21.69, 21.78, 22.27, 19.48, 19.39, 21.95, 21.46, 21.29, 21.54, 20.35, 21.38, 23.83, 27.29, 25.65, 27.02, 26.91, 25.46, 26.58, 24.8]",2025-12-13 17:30
SMR,220,17.42,21.76,34.75,14.81,13.77,15.0,4787.15,3833.06,-954.08,-19.93,2858.07,Neutral,49.24,Neutral,Strong Bearish,Normal,"[42.63, 38.79, 33.85, 36.01, 30.84, 28.82, 27.01, 25.4, 24.66, 21.99, 21.33, 20.01, 20.46, 20.07, 17.77, 17.67, 18.94, 17.79, 18.09, 19.0, 17.18, 17.96, 19.13, 21.71, 20.32, 20.48, 20.25, 19.3, 20.16, 17.42]",2025-12-13 17:30
TE,1000,5.08,4.81,6.93,4.32,3.72,15.0,4811.75,5082.5,270.75,5.63,2123.25,Overbought,72.56,Overbought,Strong Bullish,Normal,"[3.53, 3.25, 3.5, 3.89, 3.5, 3.62, 4.27, 4.19, 3.66, 3.32, 3.19, 3.02, 2.91, 2.75, 2.58, 2.58, 2.98, 3.13, 3.65, 3.91, 4.25, 4.5, 4.29, 4.85, 5.54, 5.72, 6.39, 5.84, 5.58, 5.08]",2025-12-13 17:30
TSM,50,277.44,287.58,339.74,235.82,260.66,15.0,14379.2,13871.9,-507.3,-3.53,2607.75,Neutral,63.65,Neutral,Bullish Pullback,Normal,"[284.64, 288.84, 278.6, 278.21, 274.04, 271.44, 279.75, 275.87, 275.35, 267.37, 269.85, 267.19, 263.3, 267.53, 262.92, 260.6, 269.68, 269.72, 274.72, 276.19, 272.56, 276.74, 279.92, 277.53, 279.23, 286.0, 287.46, 293.84, 289.61, 277.44]",2025-12-13 17:30
URG,3500,1.22,1.37,2.1,1.03,1.06,15.0,4804.62,4256.0,-548.63,-11.42,2543.62,Neutral,60.0,Neutral,Bullish Pullback,Normal,"[1.63, 1.53, 1.37, 1.3, 1.21, 1.18, 1.24, 1.23, 1.24, 1.15, 1.13, 1.08, 1.14, 1.21, 1.12, 1.11, 1.21, 1.19, 1.21, 1.24, 1.23, 1.26, 1.33, 1.37, 1.31, 1.3, 1.29, 1.29, 1.19, 1.22]",2025-12-13 17:30
UUUU,300,13.84,15.77,21.12,11.77,11.77,15.0,4732.43,4152.45,-579.98,-12.26,1603.13,Neutral,60.98,Neutral,Bullish Pullback,Normal,"[19.48, 16.91, 16.16, 15.4, 14.36, 14.87, 15.67, 14.9, 15.03, 14.71, 14.77, 14.21, 14.3, 14.72, 12.55, 12.14, 13.27, 13.77, 13.64, 13.68, 13.37, 14.3, 14.35, 15.5, 14.83, 14.72, 14.63, 14.12, 15.03, 13.84]",2025-12-13 17:30
TVBETETF.RO,1851,8.0,5.19,8.35,6.8,7.77,15.0,9615.06,14809.85,5194.79,54.03,5846.48,Overbought,84.08,Overbought,Strong Bullish,Normal,"[7.47, 7.5, 7.5, 7.52, 7.59, 7.57, 7.63, 7.68, 7.74, 7.78, 7.77, 7.82, 7.8, 7.76, 7.66, 7.52, 7.61, 7.65, 7.58, 7.59, 7.59, 7.65, 7.77, 7.81, 7.86, 7.93, 7.99, 8.03, 8.0, 8.0]",2025-12-13 17:30
LQQ.PA,12,1454.4,1487.57,1612.2,1236.24,1390.34,15.0,17850.83,17452.8,-398.03,-2.23,1495.57,Neutral,53.92,Neutral,Bullish Pullback,Normal,"[1586.4, 1553.8, 1553.2, 1491.4, 1429.4, 1512.8, 1513.0, 1519.2, 1473.2, 1472.2, 1457.6, 1410.8, 1418.2, 1440.0, 1364.4, 1439.4, 1438.4, 1488.0, 1483.8, 1497.4, 1494.0, 1501.2, 1513.4, 1512.2, 1526.4, 1522.4, 1528.8, 1521.0, 1490.0, 1454.4]",2025-12-13 17:31
